Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
faktorial - result check,Chrome 111.0.0.0,,,2023-03-18 02:49:39,2023-03-18 02:50:05,26.451s,FAILED
,,,,,,,
Test Cases/factorial feature/result - positive value,Chrome 111.0.0.0,,,2023-03-18 02:49:39,2023-03-18 02:49:49,10.073s,PASSED
"openBrowser("""")",Chrome 111.0.0.0,,,2023-03-18 02:49:40,2023-03-18 02:49:43,3.286s,PASSED
"navigateToUrl(""https://qa.putraprima.id/"")",Chrome 111.0.0.0,,,2023-03-18 02:49:43,2023-03-18 02:49:46,3.067s,PASSED
"setText(findTestObject(""Object Repository/input_Kalkulator Faktorial_input""), ""10"")",Chrome 111.0.0.0,,,2023-03-18 02:49:46,2023-03-18 02:49:47,1.023s,PASSED
"click(findTestObject(""Object Repository/button_Hitung""))",Chrome 111.0.0.0,,,2023-03-18 02:49:47,2023-03-18 02:49:48,0.802s,PASSED
"verifyElementText(findTestObject(""Object Repository/result""), ""Faktorial dari 10 adalah: 3628800"")",Chrome 111.0.0.0,,,2023-03-18 02:49:48,2023-03-18 02:49:49,0.788s,PASSED
closeBrowser(),Chrome 111.0.0.0,,,2023-03-18 02:49:49,2023-03-18 02:49:49,0.763s,PASSED
,,,,,,,
Test Cases/factorial feature/result - negative value,Chrome 111.0.0.0,,,2023-03-18 02:49:49,2023-03-18 02:49:57,7.587s,FAILED
"openBrowser("""")",Chrome 111.0.0.0,,,2023-03-18 02:49:50,2023-03-18 02:49:51,1.366s,PASSED
"navigateToUrl(""https://qa.putraprima.id/"")",Chrome 111.0.0.0,,,2023-03-18 02:49:51,2023-03-18 02:49:54,3.142s,PASSED
"setText(findTestObject(""Object Repository/input_Kalkulator Faktorial_input""), ""-3"")",Chrome 111.0.0.0,,,2023-03-18 02:49:54,2023-03-18 02:49:55,0.821s,PASSED
"click(findTestObject(""Object Repository/button_Hitung""))",Chrome 111.0.0.0,,,2023-03-18 02:49:55,2023-03-18 02:49:56,0.837s,PASSED
"verifyElementText(findTestObject(""Object Repository/result""), ""Faktorial dari -3 adalah: ∞"")",Chrome 111.0.0.0,,,2023-03-18 02:49:56,2023-03-18 02:49:57,1.139s,FAILED
,,,,,,,
Test Cases/factorial feature/result - value 0,Chrome 111.0.0.0,,,2023-03-18 02:49:57,2023-03-18 02:50:05,8.431s,PASSED
"openBrowser("""")",Chrome 111.0.0.0,,,2023-03-18 02:49:57,2023-03-18 02:49:59,2.178s,PASSED
"navigateToUrl(""https://qa.putraprima.id/"")",Chrome 111.0.0.0,,,2023-03-18 02:49:59,2023-03-18 02:50:02,2.990s,PASSED
"setText(findTestObject(""Object Repository/input_Kalkulator Faktorial_input""), ""0"")",Chrome 111.0.0.0,,,2023-03-18 02:50:02,2023-03-18 02:50:03,0.771s,PASSED
"click(findTestObject(""Object Repository/button_Hitung""))",Chrome 111.0.0.0,,,2023-03-18 02:50:03,2023-03-18 02:50:04,0.772s,PASSED
"verifyElementText(findTestObject(""Object Repository/result""), ""Faktorial dari 0 adalah: 1"")",Chrome 111.0.0.0,,,2023-03-18 02:50:04,2023-03-18 02:50:05,0.743s,PASSED
closeBrowser(),Chrome 111.0.0.0,,,2023-03-18 02:50:05,2023-03-18 02:50:05,0.687s,PASSED
